States/UTs,Crime Head,2004
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,15203
Maharashtra,TOTAL CRIMES AGAINST WOMEN,12169
Manipur,TOTAL CRIMES AGAINST WOMEN,134
Meghalaya,TOTAL CRIMES AGAINST WOMEN,113
Mizoram,TOTAL CRIMES AGAINST WOMEN,91
Nagaland,TOTAL CRIMES AGAINST WOMEN,30
Odisha,TOTAL CRIMES AGAINST WOMEN,5239
Punjab,TOTAL CRIMES AGAINST WOMEN,1955
Rajasthan,TOTAL CRIMES AGAINST WOMEN,13127
Sikkim,TOTAL CRIMES AGAINST WOMEN,49
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,9332
Tripura,TOTAL CRIMES AGAINST WOMEN,670
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,15485
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,988
West Bengal,TOTAL CRIMES AGAINST WOMEN,11047
A&N Islands,TOTAL CRIMES AGAINST WOMEN,27
Chandigarh,TOTAL CRIMES AGAINST WOMEN,188
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,22
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,7
Delhi UT,TOTAL CRIMES AGAINST WOMEN,3677
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,1
Puducherry,TOTAL CRIMES AGAINST WOMEN,110
TOTAL Crime against Women,TOTAL CRIMES AGAINST WOMEN,154333
