State,Crime_Head,Year,Count
Lakshadweep,Indecent Representation of Women (P) Act,2013,0
Puducherry,Indecent Representation of Women (P) Act,2013,1
Total (UTs),Indecent Representation of Women (P) Act,2013,2
Total (All-India),Indecent Representation of Women (P) Act,2013,362
Andhra Pradesh,Insult to the modesty of Women,2013,4702
Arunachal Pradesh,Insult to the modesty of Women,2013,3
Assam,Insult to the modesty of Women,2013,14
Bihar,Insult to the modesty of Women,2013,52
Chhattisgarh,Insult to the modesty of Women,2013,180
Goa,Insult to the modesty of Women,2013,54
Gujarat,Insult to the modesty of Women,2013,77
Haryana,Insult to the modesty of Women,2013,643
Himachal Pradesh,Insult to the modesty of Women,2013,111
Jammu & Kashmir,Insult to the modesty of Women,2013,354
Jharkhand,Insult to the modesty of Women,2013,18
Karnataka,Insult to the modesty of Women,2013,137
Kerala,Insult to the modesty of Women,2013,404
Madhya Pradesh,Insult to the modesty of Women,2013,736
Maharashtra,Insult to the modesty of Women,2013,2632
Manipur,Insult to the modesty of Women,2013,0
Meghalaya,Insult to the modesty of Women,2013,0
Mizoram,Insult to the modesty of Women,2013,0
Nagaland,Insult to the modesty of Women,2013,1
Odisha,Insult to the modesty of Women,2013,426
Punjab,Insult to the modesty of Women,2013,67
Rajasthan,Insult to the modesty of Women,2013,25
Sikkim,Insult to the modesty of Women,2013,0
Tamil Nadu,Insult to the modesty of Women,2013,313
Tripura,Insult to the modesty of Women,2013,7
Uttar Pradesh,Insult to the modesty of Women,2013,25
Uttarakhand,Insult to the modesty of Women,2013,72
West Bengal,Insult to the modesty of Women,2013,577
Total (State),Insult to the modesty of Women,2013,11630
A&N Islands,Insult to the modesty of Women,2013,8
Chandigarh,Insult to the modesty of Women,2013,26
D&N Haveli,Insult to the modesty of Women,2013,1
Daman & Diu,Insult to the modesty of Women,2013,0
Delhi UT,Insult to the modesty of Women,2013,916
Lakshadweep,Insult to the modesty of Women,2013,0
Puducherry,Insult to the modesty of Women,2013,8
Total (UTs),Insult to the modesty of Women,2013,959
Total (All-India),Insult to the modesty of Women,2013,12589
Andhra Pradesh,Kidnapping & Abduction of Women & Grils,2013,1595
Arunachal Pradesh,Kidnapping & Abduction of Women & Grils,2013,86
Assam,Kidnapping & Abduction of Women & Grils,2013,4222
Bihar,Kidnapping & Abduction of Women & Grils,2013,4419
Chhattisgarh,Kidnapping & Abduction of Women & Grils,2013,1881
Goa,Kidnapping & Abduction of Women & Grils,2013,70
Gujarat,Kidnapping & Abduction of Women & Grils,2013,2230
Haryana,Kidnapping & Abduction of Women & Grils,2013,1957
Himachal Pradesh,Kidnapping & Abduction of Women & Grils,2013,290
Jammu & Kashmir,Kidnapping & Abduction of Women & Grils,2013,949
Jharkhand,Kidnapping & Abduction of Women & Grils,2013,926
Karnataka,Kidnapping & Abduction of Women & Grils,2013,1359
Kerala,Kidnapping & Abduction of Women & Grils,2013,185
Madhya Pradesh,Kidnapping & Abduction of Women & Grils,2013,2873
Maharashtra,Kidnapping & Abduction of Women & Grils,2013,1874
Manipur,Kidnapping & Abduction of Women & Grils,2013,125
Meghalaya,Kidnapping & Abduction of Women & Grils,2013,33
Mizoram,Kidnapping & Abduction of Women & Grils,2013,2
Nagaland,Kidnapping & Abduction of Women & Grils,2013,11
Odisha,Kidnapping & Abduction of Women & Grils,2013,2067
Punjab,Kidnapping & Abduction of Women & Grils,2013,987
Rajasthan,Kidnapping & Abduction of Women & Grils,2013,4047
Sikkim,Kidnapping & Abduction of Women & Grils,2013,16
Tamil Nadu,Kidnapping & Abduction of Women & Grils,2013,1516
Tripura,Kidnapping & Abduction of Women & Grils,2013,124
