State,Year,AoM,AoW,DD,DV,KandA,Rape,WT,Total,share_AoM,share_AoW,share_DD,share_DV,share_KandA,share_Rape,share_WT,prev_total,yoy_growth
BIHAR,2007,12,853,1172,1635,1260,1555,56,6543,0.0018340210912425492,0.1303683325691579,0.1791227265780223,0.24988537368179733,0.19257221458046767,0.23765856640684702,0.00855876509246523,5818.0,0.1246132691646614
BIHAR,2008,21,999,1210,1992,1789,1302,22,7335,0.0028629856850715747,0.1361963190184049,0.16496250852079072,0.2715746421267894,0.24389911383776414,0.17750511247443762,0.0029993183367416497,6543.0,0.12104539202200826
BIHAR,2009,12,726,1295,2532,1986,929,31,7511,0.0015976567700705631,0.09665823458926907,0.1724137931034483,0.3371055784848888,0.2644121954466782,0.1236852616162961,0.0041272799893489545,7335.0,0.023994546693933198
BIHAR,2010,16,534,1257,2271,2569,795,8,7450,0.002147651006711409,0.07167785234899329,0.1687248322147651,0.3048322147651007,0.3448322147651007,0.10671140939597315,0.0010738255033557046,7511.0,-0.008121421914525364
Bihar,2011,11,0,1413,2607,3050,934,23,8038,0.001368499626772829,0.0,0.17578999751181887,0.32433441154516046,0.3794476237870117,0.11619805921871112,0.002861408310525006,,0.0
Bihar,2012,37,118,1275,3686,3789,927,35,9867,0.0037498733150907065,0.011959055437316306,0.12921860747947705,0.37356846052498227,0.3840072970507753,0.09394952873213742,0.0035471774602209385,8038.0,0.22754416521522766
Bihar,2013,52,331,1182,4533,4419,1128,64,11709,0.004441028268853019,0.02826885301904518,0.10094798872662054,0.3871380988982834,0.377401998462721,0.09633615167819626,0.005465880946280639,9867.0,0.18668288233505625
Bihar,2014,271,572,2203,4672,4735,1127,31,13611,0.019910366615237676,0.04202483285577841,0.16185438248475498,0.3432517816471971,0.34788039086033357,0.0828006759238851,0.002277569612813166,11709.0,0.16243914937227774
Bihar,2015,78,198,1154,3792,5158,1041,21,11442,0.0068169900367068695,0.0173046670162559,0.1008564936199965,0.33141059255374933,0.4507953155042825,0.09098059779758784,0.0018353434714210803,13611.0,-0.1593564029094115
Bihar,2016,124,324,987,3794,5496,1008,50,11783,0.010523635746414326,0.027497241789018075,0.08376474582024951,0.32198930662819314,0.4664346940507511,0.08554697445472291,0.004243401510650938,11442.0,0.029802482083551827
Bihar,2017,1,197,1081,3776,6182,605,24,11866,8.427439743805832e-05,0.01660205629529749,0.09110062363054104,0.3182201247261082,0.5209843249620765,0.05098601045002528,0.0020225855385133996,11783.0,0.0070440465076805564
Bihar,2018,30,262,1107,2539,7951,651,49,12589,0.0023830328064183017,0.020811819842719834,0.08793391055683533,0.20168400984986892,0.6315831281277305,0.05171181189927715,0.003892286917149893,11866.0,0.06093038934771616
Bihar,2019,11,312,1120,2397,9025,730,40,13635,0.0008067473414008067,0.02288228822882288,0.08214154748808214,0.1757975797579758,0.6618995232856619,0.05353868720205354,0.0029336266960029336,12589.0,0.08308841051711811
Bihar,2020,6,584,1046,1935,6671,806,30,11078,0.0005416140097490522,0.05271709694890774,0.09442137569958477,0.17467051814406934,0.6021845098393211,0.07275681530962268,0.002708070048745261,13635.0,-0.18753208654198752
Bihar,2021,1,387,1000,2069,8661,786,32,12936,7.730364873222017e-05,0.029916512059369203,0.07730364873222016,0.1599412492269635,0.6695269016697588,0.060760667903525044,0.0024737167594310453,11078.0,0.1677198050189565
CHANDIGARH,2001,15,24,3,36,50,18,0,146,0.10273972602739725,0.1643835616438356,0.02054794520547945,0.2465753424657534,0.3424657534246575,0.1232876712328767,0.0,,0.0
CHANDIGARH,2002,28,36,1,56,47,18,0,186,0.15053763440860216,0.1935483870967742,0.005376344086021506,0.3010752688172043,0.25268817204301075,0.0967741935483871,0.0,146.0,0.273972602739726
CHANDIGARH,2003,4,11,1,93,28,18,0,155,0.025806451612903226,0.07096774193548387,0.0064516129032258064,0.6,0.18064516129032257,0.11612903225806452,0.0,186.0,-0.16666666666666666
CHANDIGARH,2004,18,20,6,73,43,19,0,179,0.1005586592178771,0.11173184357541899,0.0335195530726257,0.40782122905027934,0.24022346368715083,0.10614525139664804,0.0,155.0,0.15483870967741936
CHANDIGARH,2005,9,31,3,75,45,33,0,196,0.04591836734693878,0.15816326530612246,0.015306122448979591,0.3826530612244898,0.22959183673469388,0.1683673469387755,0.0,179.0,0.09497206703910614
CHANDIGARH,2006,13,20,10,102,57,19,0,221,0.058823529411764705,0.09049773755656108,0.04524886877828054,0.46153846153846156,0.2579185520361991,0.08597285067873303,0.0,196.0,0.12755102040816327
CHANDIGARH,2007,11,32,1,112,46,22,0,224,0.049107142857142856,0.14285714285714285,0.004464285714285714,0.5,0.20535714285714285,0.09821428571428571,0.0,221.0,0.013574660633484163
CHANDIGARH,2008,2,19,3,49,42,20,0,135,0.014814814814814815,0.14074074074074075,0.022222222222222223,0.362962962962963,0.3111111111111111,0.14814814814814814,0.0,224.0,-0.39732142857142855
CHANDIGARH,2009,2,26,2,51,36,29,0,146,0.0136986301369863,0.1780821917808219,0.0136986301369863,0.3493150684931507,0.2465753424657534,0.19863013698630136,0.0,135.0,0.08148148148148149
CHANDIGARH,2010,4,29,5,41,28,31,0,138,0.028985507246376812,0.21014492753623187,0.036231884057971016,0.2971014492753623,0.2028985507246377,0.2246376811594203,0.0,146.0,-0.0547945205479452
CHHATTISGARH,2001,161,1763,70,840,171,959,0,3964,0.04061553985872856,0.44475277497477295,0.017658930373360242,0.2119071644803229,0.04313824419778002,0.24192734611503533,0.0,,0.0
CHHATTISGARH,2002,147,1483,85,653,154,992,0,3514,0.04183266932270916,0.4220261809903244,0.024188958451906658,0.18582811610700056,0.043824701195219126,0.28229937393284005,0.0,3964.0,-0.11352169525731584
CHHATTISGARH,2003,105,1481,79,601,149,898,0,3313,0.03169332930878358,0.4470268638696046,0.02384545728946574,0.18140658013884697,0.044974343495321464,0.27105342589797765,0.0,3514.0,-0.05719977233921457
CHHATTISGARH,2004,131,1661,71,741,174,969,0,3747,0.03496130237523352,0.4432879637042968,0.01894849212703496,0.1977582065652522,0.04643714971977582,0.2586068855084067,0.0,3313.0,0.13099909447630545
CHHATTISGARH,2005,132,1450,100,732,184,990,0,3588,0.03678929765886288,0.4041248606465998,0.027870680044593088,0.2040133779264214,0.05128205128205128,0.27591973244147155,0.0,3747.0,-0.04243394715772618
CHHATTISGARH,2006,143,1598,103,717,178,995,1,3735,0.038286479250334675,0.4278447121820616,0.027576974564926374,0.19196787148594377,0.047657295850066936,0.26639892904953144,0.0002677376171352075,3588.0,0.04096989966555184
CHHATTISGARH,2007,111,1549,100,824,181,982,0,3747,0.029623698959167333,0.4133973845743261,0.02668801708033093,0.21990926074192688,0.04830531091539898,0.26207632772884976,0.0,3735.0,0.00321285140562249
CHHATTISGARH,2008,125,1621,106,897,216,978,0,3943,0.0317017499365965,0.4111082931777834,0.026883083946233833,0.2274917575450165,0.05478062389043875,0.248034491503931,0.0,3747.0,0.05230851347744862
CHHATTISGARH,2009,152,1598,128,893,229,976,0,3976,0.03822937625754527,0.40191146881287726,0.03219315895372234,0.22459758551307846,0.057595573440643866,0.2454728370221328,0.0,3943.0,0.008369261983261477
CHHATTISGARH,2010,182,1706,115,861,279,1012,2,4157,0.04378157324993986,0.41039210969449125,0.027664180899687276,0.20712051960548472,0.06711570844358912,0.24344479191724802,0.0004811161895597787,3976.0,0.04552313883299799
Chandigarh,2011,12,0,2,46,46,27,1,134,0.08955223880597014,0.0,0.014925373134328358,0.34328358208955223,0.34328358208955223,0.20149253731343283,0.007462686567164179,,0.0
Chandigarh,2012,25,45,5,73,66,27,0,241,0.1037344398340249,0.18672199170124482,0.02074688796680498,0.3029045643153527,0.27385892116182575,0.11203319502074689,0.0,134.0,0.7985074626865671
Chandigarh,2013,26,143,1,92,174,45,6,487,0.053388090349075976,0.2936344969199179,0.002053388090349076,0.188911704312115,0.35728952772073924,0.09240246406570841,0.012320328542094456,241.0,1.020746887966805
Chandigarh,2014,31,87,2,141,133,59,0,453,0.0684326710816777,0.19205298013245034,0.004415011037527594,0.31125827814569534,0.293598233995585,0.13024282560706402,0.0,487.0,-0.06981519507186858
Chandigarh,2015,22,76,5,126,165,72,0,466,0.04721030042918455,0.1630901287553648,0.01072961373390558,0.2703862660944206,0.3540772532188841,0.15450643776824036,0.0,453.0,0.02869757174392936
Chandigarh,2016,26,76,4,122,112,68,0,408,0.06372549019607843,0.18627450980392157,0.00980392156862745,0.29901960784313725,0.27450980392156865,0.16666666666666666,0.0,466.0,-0.12446351931330472
Chandigarh,2017,12,100,1,121,138,65,0,437,0.02745995423340961,0.2288329519450801,0.002288329519450801,0.2768878718535469,0.3157894736842105,0.14874141876430205,0.0,408.0,0.07107843137254902
Chandigarh,2018,3,100,6,93,139,86,0,427,0.00702576112412178,0.234192037470726,0.01405152224824356,0.21779859484777517,0.3255269320843091,0.20140515222482436,0.0,437.0,-0.02288329519450801
Chandigarh,2019,15,66,6,177,129,112,0,505,0.0297029702970297,0.1306930693069307,0.011881188118811881,0.3504950495049505,0.25544554455445545,0.22178217821782178,0.0,427.0,0.18266978922716628
Chandigarh,2020,3,6,1,4,0,4,0,18,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.2222222222222222,0.0,0.2222222222222222,0.0,505.0,-0.9643564356435643
Chandigarh,2021,0,7,0,6,23,3,0,39,0.0,0.1794871794871795,0.0,0.15384615384615385,0.5897435897435898,0.07692307692307693,0.0,18.0,1.1666666666666667
Chhattisgarh,2011,174,0,104,834,365,1053,15,2545,0.06836935166994106,0.0,0.04086444007858546,0.3277013752455796,0.14341846758349705,0.4137524557956778,0.005893909626719057,,0.0
Chhattisgarh,2012,162,1601,81,980,350,1034,5,4213,0.03845240920958937,0.3800142416330406,0.019226204604794683,0.232613339662948,0.08307619273676715,0.2454308093994778,0.0011868027533823878,2545.0,0.6554027504911591
Chhattisgarh,2013,180,2261,109,1181,1881,1380,8,7000,0.025714285714285714,0.323,0.015571428571428571,0.1687142857142857,0.26871428571428574,0.19714285714285715,0.001142857142857143,4213.0,0.661523854735343
